,folds,cls_test_auc,cls_val_auc,cls_test_acc,cls_val_acc,site_test_auc,site_val_auc,site_test_acc,site_val_acc
0,0,0.7980392156862746,0.752,0.7868852459016393,0.8333333333333334,0.7884615384615384,0.768,0.819672131147541,0.7666666666666666
1,1,0.7,0.49599999999999994,0.7540983606557377,0.6666666666666667,0.749090909090909,0.552,0.819672131147541,0.8333333333333334
2,2,0.6450980392156863,0.68,0.8360655737704918,0.8333333333333334,0.445578231292517,0.712,0.8032786885245902,0.8333333333333334
3,3,0.8588235294117647,0.704,0.8360655737704918,0.8333333333333334,0.8431372549019608,0.696,0.8524590163934427,0.8333333333333334
4,4,0.6470588235294118,0.896,0.7213114754098361,0.8333333333333334,0.6872727272727273,0.8959999999999999,0.819672131147541,0.8333333333333334
